"fab_id","draft_duration","start_time","end_time","drafter","new_start_time","new_end_time","session_start_time","state","active_session","session_start_temp","intermediary","new_duration","session_duration","old_duration","test","display_end_time"
"13436","5","2/3/2025 5:20:49 AM","2/3/2025 5:25:49 AM","12","","","","","0","","","","5","5","","2/3/2025 5:25:49 AM"
"13437","5","2/3/2025 5:20:56 AM","2/3/2025 5:25:56 AM","12","","","","","0","","","","5","5","","2/3/2025 5:25:56 AM"
"13432","","2/3/2025 9:02:52 AM","","6","","","","","0","","","","0","","",""
"13439","45","2/4/2025 4:55:39 AM","2/4/2025 5:40:39 AM","6","","","","","0","","","","45","45","","2/4/2025 5:40:39 AM"
"13438","","2/5/2025 9:31:10 AM","","6","","","","","0","","","","0","","",""
"13443","","2/5/2025 10:26:39 AM","","6","","","","","0","","","","0","","",""
"13457","","2/6/2025 8:09:05 AM","","15","","","","","0","","","","0","","",""
"13456","","2/6/2025 8:39:26 AM","","15","","","","","0","","","","0","","",""
"13320","","2/6/2025 10:06:18 AM","","15","","","","","0","","","","0","","",""
"13459","","2/7/2025 8:21:39 AM","","6","","","","","0","","","","0","","",""
"13300","","2/11/2025 8:50:36 AM","","15","","","","","0","","","","0","","",""
"12956","","2/11/2025 3:04:29 PM","","6","","","","","0","","","","0","","",""
"13428","","2/12/2025 8:34:28 AM","","6","","","","","0","","","","0","","",""
"13472","45","2/13/2025 3:33:10 AM","2/13/2025 4:18:10 AM","6","","","","","0","","","","45","45","","2/13/2025 4:18:10 AM"
"13471","100","2/13/2025 9:25:12 AM","2/13/2025 11:05:12 AM","6","","","","","0","","","","100","100","","2/13/2025 11:05:12 AM"
"12473","","2/13/2025 3:06:48 PM","","6","","","","","0","","","","0","","",""
"13455","","2/14/2025 2:12:27 PM","","6","","","","","0","","","","0","","",""
"13237","","2/14/2025 2:12:40 PM","","6","","","","","0","","","","0","","",""
"13402","","2/14/2025 2:48:11 PM","","15","","","","","0","","","","0","","",""
"13386","40","2/17/2025 5:14:11 AM","2/17/2025 5:54:11 AM","12","","","","","0","","","","40","40","","2/17/2025 5:54:11 AM"
"13385","4","2/17/2025 6:02:24 AM","2/17/2025 6:06:24 AM","15","","","","","0","","","","4","4","","2/17/2025 6:06:24 AM"
"13388","5","2/17/2025 6:34:43 AM","2/17/2025 6:39:43 AM","12","","","","","0","","","","5","5","","2/17/2025 6:39:43 AM"
"13384","","2/17/2025 8:21:46 AM","","6","","","","","0","","","","0","","",""
"13387","","2/17/2025 9:03:40 AM","","6","","","","","0","","","","0","","",""
"13486","","2/17/2025 10:06:27 AM","","15","","","","","0","","","","0","","",""
"13405","43","2/18/2025 3:49:27 AM","2/18/2025 4:32:27 AM","6","","","","","0","","","","43","43","","2/18/2025 4:32:27 AM"
"13404","43","2/18/2025 3:49:33 AM","2/18/2025 4:32:33 AM","6","","","","","0","","","","43","43","","2/18/2025 4:32:33 AM"
"13403","","2/18/2025 8:52:06 AM","","15","","","","","0","","","","0","","",""
"13407","","2/19/2025 8:08:52 AM","","6","","","","","0","","","","0","","",""
"13406","","2/19/2025 8:43:07 AM","","15","","","","","0","","","","0","","",""
"12471","","2/20/2025 8:52:54 AM","","6","","","","","0","","","","0","","",""
"13507","","2/20/2025 9:35:38 AM","","6","","","","","0","","","","0","","",""
"13477","","2/20/2025 11:03:15 AM","","15","","","","","0","","","","0","","",""
"13517","69","2/24/2025 7:57:17 AM","2/24/2025 9:06:17 AM","15","","","","","0","","","","69","69","","2/24/2025 9:06:17 AM"
"13426","","2/24/2025 10:01:43 AM","","6","","","","","0","","","","0","","",""
"13383","","2/24/2025 11:43:09 AM","","6","","","","","0","","","","0","","",""
"13240","","2/24/2025 11:54:43 AM","","15","","","","","0","","","","0","","",""
"12719","","2/25/2025 11:08:40 AM","","15","","","","","0","","","","0","","",""
"13529","","2/25/2025 2:50:56 PM","","6","","","","","0","","","","0","","",""
"13205","351","2/26/2025 8:19:02 AM","2/26/2025 2:10:02 PM","6","","","","","0","","","","351","351","","2/26/2025 2:10:02 PM"
"13490","133","2/26/2025 8:19:14 AM","2/26/2025 10:32:14 AM","6","","","","","0","","","","133","133","","2/26/2025 10:32:14 AM"
"13284","","2/28/2025 3:05:51 PM","","15","","","","","0","","","","0","","",""
"13533","","3/3/2025 9:53:11 AM","","15","","","","","0","","","","0","","",""
"13539","","3/3/2025 10:34:35 AM","","6","","","","","0","","","","0","","",""
"13553","","3/4/2025 2:51:57 PM","","6","","","","","0","","","","0","","",""
"13547","","3/4/2025 4:18:06 PM","","15","","","","","0","","","","0","","",""
"13550","62","3/5/2025 4:01:26 AM","3/5/2025 5:03:26 AM","6","","","","","0","","","","62","62","","3/5/2025 5:03:26 AM"
"13551","8","3/5/2025 5:13:55 AM","3/5/2025 5:21:55 AM","6","","","","","0","","","","8","8","","3/5/2025 5:21:55 AM"
"13552","39","3/5/2025 6:25:28 AM","3/5/2025 7:04:28 AM","15","","","","","0","","","","39","39","","3/5/2025 7:04:28 AM"
"13549","7","3/5/2025 7:13:24 AM","3/5/2025 7:20:24 AM","12","","","","","0","","","","7","7","","3/5/2025 7:20:24 AM"
"13473","","3/5/2025 9:59:02 AM","","6","","","","","0","","","","0","","",""
"13562","23","3/7/2025 11:20:23 AM","3/7/2025 11:43:23 AM","6","","","","","0","","","","23","23","","3/7/2025 11:43:23 AM"
"12802","","3/7/2025 11:27:06 AM","","6","","","","","0","","","","0","","",""
"13563","167","3/7/2025 11:31:30 AM","3/7/2025 2:18:30 PM","6","","","","","0","","","","167","167","","3/7/2025 2:18:30 PM"
"13564","34","3/7/2025 1:52:00 PM","3/7/2025 2:26:00 PM","6","","","","","0","","","","34","34","","3/7/2025 2:26:00 PM"
"13561","45","3/7/2025 2:31:28 PM","3/7/2025 3:16:28 PM","6","","","","","0","","","","45","45","","3/7/2025 3:16:28 PM"
"13565","","3/7/2025 3:18:32 PM","","6","","","","","0","","","","0","","",""
"13594","22","3/14/2025 10:46:39 AM","3/14/2025 11:08:39 AM","6","","","","","0","","","","22","22","","3/14/2025 11:08:39 AM"
"13536","","3/14/2025 11:38:17 AM","","6","","","","","0","","","","0","","",""
"13164","","3/17/2025 8:02:45 AM","","6","","","","","0","","","","0","","",""
"13293","22","3/18/2025 5:29:03 AM","3/18/2025 5:51:03 AM","6","","","","","0","","","","22","22","","3/18/2025 5:51:03 AM"
"13114","6","3/18/2025 6:02:32 AM","3/18/2025 6:08:32 AM","12","","","","","0","","","","6","6","","3/18/2025 6:08:32 AM"
"13608","","3/18/2025 12:12:24 PM","","15","","","","","0","","","","0","","",""
"13611","","3/18/2025 2:59:32 PM","","15","","","","","0","","","","0","","",""
"13612","13","3/19/2025 8:37:54 AM","3/19/2025 8:50:54 AM","12","","","","","0","","","","13","13","","3/19/2025 8:50:54 AM"
"13599","","3/26/2025 10:23:37 AM","","6","","","","","0","","","","0","","",""
"13646","44","3/26/2025 11:07:00 AM","3/26/2025 11:51:00 AM","12","","","","","0","","","","44","44","","3/26/2025 11:51:00 AM"
"13651","41","3/26/2025 11:58:26 AM","3/26/2025 12:39:26 PM","6","","","","","0","","","","41","41","","3/26/2025 12:39:26 PM"
"13650","30","3/26/2025 1:16:56 PM","3/26/2025 1:46:56 PM","6","","","","","0","","","","30","30","","3/26/2025 1:46:56 PM"
"13158","","3/31/2025 10:32:25 AM","","15","","","","","0","","","","0","","",""
"13639","","4/1/2025 10:45:12 AM","","15","","","","","0","","","","0","","",""
"13667","107","4/1/2025 11:18:03 AM","4/1/2025 1:05:03 PM","6","","","","","0","","","","107","107","","4/1/2025 1:05:03 PM"
"13643","","4/1/2025 1:21:06 PM","","6","","","","","0","","","","0","","",""
"13648","","4/1/2025 3:40:35 PM","","15","","","","","0","","","","0","","",""
"13670","","4/2/2025 12:14:01 PM","","6","","","","","0","","","","0","","",""
"13664","","4/2/2025 1:33:13 PM","","6","","","","","0","","","","0","","",""
"13663","","4/2/2025 2:39:53 PM","","15","","","","","0","","","","0","","",""
"13159","","4/2/2025 3:18:30 PM","","6","","","","","0","","","","0","","",""
"13165","","4/2/2025 4:13:03 PM","","15","","","","","0","","","","0","","",""
"13161","","4/4/2025 10:22:43 AM","","15","","","","","0","","","","0","","",""
"13538","","4/4/2025 10:43:24 AM","","15","","","","","0","","","","0","","",""
"13686","","4/7/2025 8:30:18 AM","","6","","","","","0","","","","0","","",""
"13687","","4/7/2025 11:23:55 AM","","15","","","","","0","","","","0","","",""
"13502","167","4/8/2025 9:29:00 AM","4/8/2025 12:16:00 PM","6","","","","","0","","","","167","167","","4/8/2025 12:16:00 PM"
